carat,cut,color,clarity,depth,table,price,x,y,z
0.31,Premium,E,VS1,61.7,58,942,4.36,4.3,2.67
0.71,Premium,D,VVS1,59.7,59,4482,5.81,5.88,3.49
0.32,Ideal,D,SI2,61.7,55,454,4.39,4.42,2.72
1.2,Very Good,I,SI1,63.1,58,4838,6.72,6.66,4.22
0.52,Ideal,G,VS1,62.7,56,1689,5.14,5.16,3.23
1.12,Ideal,H,VS1,60.9,57,7616,6.71,6.73,4.09
0.31,Premium,G,VS2,61.5,59,544,4.33,4.35,2.67
0.57,Very Good,E,SI1,62.1,58,1397,5.28,5.32,3.29
1.02,Ideal,G,I1,61.5,56,3382,6.49,6.46,3.98
0.7,Ideal,G,SI1,60.7,55,2744,5.76,5.8,3.51
0.32,Very Good,G,VVS2,61.3,57,672,4.39,4.43,2.7
1,Ideal,J,VS2,62.4,54,4539,6.4,6.46,4.01
0.3,Premium,D,SI1,62.2,58,709,4.31,4.28,2.67
0.87,Ideal,G,VS2,61.4,55,4553,6.15,6.17,3.78
1.51,Premium,E,VS2,60.7,60,14709,7.37,7.46,4.5
0.44,Premium,E,SI1,62.3,58,778,4.85,4.88,3.03
1.02,Ideal,G,VS2,62.4,57,5346,6.47,6.36,4
0.7,Ideal,F,VS1,62.4,56,2874,5.69,5.65,3.54
0.31,Ideal,E,VS2,62.3,57,680,4.32,4.35,2.7
0.75,Very Good,H,VVS2,60.6,57,3002,5.86,5.89,3.56
1,Good,E,SI1,58,60,5384,6.48,6.52,3.77
0.4,Ideal,F,VVS2,62.4,56,1088,4.72,4.74,2.95
1,Premium,H,SI1,61.5,58,4788,6.45,6.37,3.94
0.71,Very Good,E,VS2,60,59,2881,5.84,5.83,3.5
2.06,Premium,I,SI1,60.9,61,14488,8.32,8.16,4.99
1.55,Premium,J,VS1,62.6,59,8593,7.35,7.4,4.62
0.71,Ideal,D,SI1,61.3,57,2690,5.74,5.78,3.53
0.3,Very Good,H,SI1,62.9,57,421,4.26,4.29,2.69
0.41,Ideal,I,VVS1,61.8,55,1107,4.79,4.76,2.95
0.66,Good,H,VS1,59.8,60.9,1978,5.62,5.68,3.38
1,Good,E,VS1,60.1,63,7556,6.42,6.45,3.87
0.43,Ideal,G,VVS2,62,55,954,4.86,4.89,3.02
0.54,Ideal,D,VS1,62.1,57,2004,5.19,5.22,3.23
1.11,Ideal,H,SI2,62.7,57,4662,6.66,6.59,4.14
1.27,Very Good,H,SI2,63.1,57,4978,6.88,6.84,4.33
0.32,Ideal,E,VVS2,61.5,57,1080,4.41,4.4,2.71
0.7,Premium,G,SI1,62,61,2184,5.67,5.62,3.5
0.51,Ideal,G,VVS1,62.6,57,2111,5.14,5.08,3.2
0.9,Very Good,F,SI1,62.5,60,3950,6.05,6.11,3.8
1.09,Ideal,H,SI1,62.5,56,5219,6.58,6.53,4.1
1.65,Ideal,G,VS2,60.8,56,14456,7.65,7.7,4.67
0.47,Good,G,VS2,60.1,60.3,1226,5.02,5.07,3.03
1.13,Ideal,E,VS2,62,54,8253,6.66,6.7,4.14
1.55,Ideal,F,SI1,61.9,55,14220,7.47,7.42,4.61
2.06,Ideal,I,VS2,59.2,57,15691,8.39,8.29,4.94
0.8,Premium,G,SI2,59.7,62,2484,6.02,5.98,3.58
0.71,Ideal,E,SI1,60.5,56,2823,5.77,5.73,3.47
1.06,Premium,G,VVS2,62.4,55,7627,6.54,6.5,4.07
1.02,Ideal,H,SI1,61.9,57,5014,6.46,6.4,3.98
0.31,Ideal,H,SI2,61,56,421,4.36,4.39,2.67
1.02,Ideal,E,SI1,60.4,55,5278,6.54,6.48,3.93
0.32,Ideal,I,VS1,60.9,56.7,529,4.41,4.44,2.69
1.01,Good,D,IF,63.4,59,15081,6.26,6.39,4.01
0.52,Ideal,F,VS2,61.2,56,1625,5.19,5.37,3.2
0.7,Very Good,H,SI1,57.7,60,2048,5.85,5.9,3.39
1.06,Ideal,F,I1,62.1,55,3609,6.57,6.54,4.07
0.74,Premium,G,VS1,59.5,58,2574,5.95,5.89,3.52
1.03,Ideal,G,SI1,60.8,57,5653,6.52,6.47,3.95
1.06,Ideal,D,VVS2,62,57,11837,6.52,6.54,4.05
0.42,Ideal,E,VS2,60.9,57,902,4.85,4.87,2.96
1.26,Ideal,I,SI1,62.6,57,6597,6.89,6.92,4.32
1.01,Premium,G,VS2,61.8,59,5946,6.45,6.4,3.97
0.34,Ideal,D,SI1,60.9,56,596,4.53,4.56,2.76
0.33,Ideal,F,VVS1,61.9,55,893,4.43,4.46,2.75
0.41,Premium,I,VVS2,62.9,58,1061,4.74,4.71,2.97
1.53,Ideal,H,VS1,61.3,57,12459,7.38,7.41,4.53
1.5,Very Good,H,SI2,62.3,60,7775,7.28,7.22,4.52
0.31,Ideal,G,VS2,62.3,56,544,4.29,4.34,2.69
1.53,Premium,G,VS2,61.8,59,12602,7.31,7.45,4.56
0.41,Ideal,F,VVS1,61.9,56,1295,4.77,4.79,2.96
2.02,Ideal,H,SI2,63,57,15974,8.01,8.06,5.06
0.35,Very Good,F,VVS1,62.3,56,909,4.53,4.57,2.83
0.9,Good,H,VS1,64,59,3669,6.05,6.01,3.86
0.7,Very Good,E,VS1,62.7,60,2671,5.59,5.64,3.52
0.53,Premium,G,SI2,60.8,58,1173,5.21,5.19,3.16
0.35,Very Good,I,VVS2,61.3,56,620,4.52,4.54,2.78
0.41,Ideal,G,VS2,60.9,57,1061,4.84,4.79,2.93
0.33,Ideal,G,VS2,62.3,55,579,4.42,4.47,2.77
1,Premium,G,SI1,60.2,59,4427,6.5,6.39,3.88
0.54,Ideal,F,VS1,61.5,55,2202,5.26,5.27,3.24
1.67,Ideal,H,VS2,61.7,55,12327,7.68,7.61,4.72
0.3,Premium,H,VVS1,61.3,61,878,4.29,4.26,2.62
0.25,Premium,E,VVS1,62.9,58,740,4.03,4.01,2.53
0.32,Ideal,H,SI1,61.8,55,479,4.39,4.41,2.72
1.01,Ideal,E,VVS1,62,57,11154,6.45,6.39,3.98
0.81,Very Good,G,SI2,63.2,60,2095,5.82,5.79,3.67
0.53,Ideal,F,VS1,61.6,55,1740,5.24,5.21,3.22
1.01,Premium,F,SI2,60,60,3717,6.46,6.4,3.86
0.57,Ideal,D,SI2,61.9,56,1359,5.3,5.34,3.3
0.41,Very Good,F,VS2,63.2,57,1107,4.76,4.74,3
0.3,Ideal,D,SI2,63,55,574,4.26,4.25,2.68
1.5,Very Good,I,VVS2,63.3,58,9828,7.24,7.21,4.57
0.71,Ideal,D,SI2,61.6,56,2690,5.78,5.82,3.57
1.52,Ideal,H,SI1,61.8,57,9700,7.43,7.32,4.56
0.74,Premium,H,SI1,60.9,60,2201,5.81,5.75,3.52
0.5,Good,D,SI1,61.1,64,1374,5.05,5.07,3.09
1.23,Ideal,I,VS2,62.4,58,6817,6.82,6.86,4.27
0.99,Very Good,F,SI2,61.2,56,4852,6.4,6.45,3.93
0.4,Premium,D,VS2,62.4,59,982,4.7,4.72,2.94
0.71,Ideal,H,VS1,61.4,56,3229,5.74,5.78,3.54
0.36,Ideal,E,VVS2,62,54,887,4.56,4.6,2.84
0.51,Premium,D,SI2,62,58,1264,5.08,5.12,3.16
0.81,Fair,F,SI2,68.8,79,2301,5.26,5.2,3.58
0.4,Ideal,D,VVS2,61.3,56,1323,4.78,4.75,2.92
0.7,Good,F,SI2,64.3,57,1851,5.6,5.53,3.58
0.5,Ideal,G,SI1,61.7,57,1237,5.06,5.08,3.13
0.3,Ideal,E,VS2,62.6,54,844,4.31,4.28,2.69
0.32,Very Good,G,SI1,62.8,56,477,4.34,4.36,2.73
1.05,Ideal,I,VS2,62.2,56,3428,6.52,6.5,4.05
0.32,Ideal,E,VS2,62.1,55,702,4.39,4.43,2.74
1.28,Ideal,F,VVS2,62.2,56,12958,6.95,6.91,4.32
0.7,Premium,J,VS1,59.6,62,1953,5.77,5.7,3.42
1,Premium,F,VS1,62.6,58,7114,6.37,6.4,4
0.35,Ideal,G,IF,61.5,55,1001,4.53,4.57,2.8
0.33,Ideal,F,VVS1,62.4,54,880,4.44,4.47,2.78
1.27,Ideal,J,VS1,62,57,5008,6.96,6.92,4.3
0.41,Very Good,I,VVS2,59.9,57,1024,4.87,4.91,2.93
1.01,Fair,E,I1,64.5,54,2036,6.31,6.22,4.03
1.33,Ideal,F,VVS2,61.9,55,15031,7.02,7.07,4.36
0.38,Ideal,G,VS1,62.1,56,1040,4.68,4.63,2.89
1.52,Premium,D,VS1,61,59,17723,7.48,7.53,4.5
1.53,Ideal,I,VS1,62.8,55,10796,7.4,7.35,4.63
0.31,Very Good,E,IF,61.5,59,1209,4.34,4.37,2.68
0.56,Ideal,D,VVS2,61.7,58,2612,5.26,5.3,3.26
1.41,Good,D,SI2,63.9,60,7501,7.08,7,4.5
0.51,Very Good,F,SI2,58.9,60,1090,5.19,5.24,3.07
0.32,Premium,G,SI2,61,59,540,4.42,4.36,2.68
0.28,Ideal,H,VS2,62.5,54,467,4.2,4.22,2.63
0.58,Good,G,VS1,59,62,1777,5.44,5.48,3.22
1.15,Very Good,H,SI2,61.9,57,4654,6.68,6.72,4.15
1.02,Very Good,I,VS2,61.5,57,6104,6.4,6.44,3.95
1.05,Ideal,F,VVS2,61.6,56,9483,6.55,6.53,4.03
0.57,Very Good,G,VS1,59.9,57,1934,5.38,5.47,3.25
1.02,Premium,D,SI2,60.3,58,4718,6.52,6.48,3.92
0.3,Ideal,G,IF,62.3,54,863,4.32,4.35,2.7
0.62,Ideal,D,VS2,61.2,56,2243,5.49,5.52,3.37
0.58,Ideal,F,VVS1,61.7,55,3090,5.36,5.39,3.31
0.39,Ideal,F,VS1,61.9,55.2,939,4.66,4.7,2.89
0.32,Very Good,D,SI1,58.3,58,589,4.49,4.54,2.63
1.04,Premium,D,SI2,61.9,58,4543,6.54,6.49,4.03
0.5,Good,E,VS2,63.4,59,1407,5.03,5.06,3.2
1.36,Very Good,J,SI2,62.6,58,5215,7,7.12,4.42
1.02,Very Good,F,SI1,61.9,58,5019,6.43,6.49,4
0.34,Ideal,F,VS1,61.1,55,764,4.53,4.57,2.78
0.41,Very Good,F,VVS1,63.7,54,1169,4.71,4.74,3.01
1.06,Ideal,G,VS1,61.7,57,8093,6.52,6.57,4.04
2.59,Ideal,J,VS1,61.7,56,16465,8.83,8.77,5.43
0.35,Ideal,D,SI1,61.6,57,827,4.55,4.54,2.8
1.5,Good,I,VS2,61.3,61,8920,7.31,7.38,4.5
0.8,Very Good,F,VS1,63.8,55,3603,5.84,5.89,3.74
1.08,Premium,G,VS2,59.4,59,6532,6.75,6.68,3.99
0.59,Very Good,D,VS2,62.9,56.7,2200,5.37,5.39,3.38
0.77,Very Good,G,VS2,61.3,60,2896,5.81,5.91,3.59
1,Very Good,F,VS2,63.2,56,6701,6.32,6.37,4.01
0.34,Premium,E,SI1,59.6,57,765,4.61,4.52,2.72
0.54,Premium,F,SI1,63,57,1349,5.23,5.18,3.28
1.05,Ideal,G,VVS1,60.1,57,8623,6.58,6.63,3.97
1,Premium,H,SI1,62.3,60,4788,6.38,6.34,3.96
0.37,Ideal,G,VVS2,62,56,909,4.62,4.64,2.87
0.38,Ideal,E,VVS1,61.3,55,1200,4.67,4.72,2.88
0.9,Fair,I,VVS2,67,56,3074,5.91,5.83,3.93
0.76,Ideal,G,VS2,61.7,55,3114,5.86,5.91,3.63
0.88,Fair,I,VS2,57.4,67,2550,6.49,6.36,3.69
1.06,Ideal,H,VS2,62.5,57,5889,6.49,6.47,4.05
0.77,Premium,F,VS2,62.1,59,3218,5.85,5.87,3.64
0.36,Very Good,H,IF,62.3,56,865,4.55,4.58,2.85
1.51,Ideal,F,VS2,62.4,53,15688,7.37,7.32,4.58
1.24,Ideal,I,SI1,62.1,56,5902,6.88,6.84,4.26
0.38,Premium,E,VS2,60.5,62,1112,4.74,4.65,2.84
0.5,Ideal,G,VVS1,62.2,54,1883,5.1,5.13,3.18
1,Premium,F,SI2,58.2,59,4480,6.51,6.49,3.78
1.22,Premium,G,SI2,60.2,58,5534,6.92,6.9,4.16
1.26,Very Good,G,VVS2,60.9,56,10020,6.95,7.01,4.25
1.02,Premium,H,SI1,62.2,52,3581,6.47,6.43,4.01
1.07,Ideal,E,VVS2,61.3,56,12031,6.57,6.62,4.04
0.34,Ideal,D,SI1,60.1,57,803,4.56,4.52,2.73
0.3,Premium,D,VS2,60.3,60,911,4.31,4.28,2.59
0.57,Ideal,H,VS1,61.3,55.1,1720,5.34,5.42,3.29
0.8,Very Good,J,VS1,62.7,58,2487,5.91,5.95,3.72
0.26,Premium,E,VVS2,58.9,61,724,4.19,4.16,2.46
1.14,Premium,G,SI2,62.8,58,4233,6.68,6.64,4.18
0.31,Ideal,F,VVS1,62,54,840,4.34,4.37,2.7
0.31,Ideal,I,VS1,61.4,55.2,513,4.32,4.35,2.66
0.51,Premium,F,SI1,59.4,60,1406,5.21,5.19,3.09
0.43,Ideal,D,VS1,61.6,56,1207,4.85,4.86,2.99
0.4,Premium,E,VS1,60.3,58,1053,4.8,4.82,2.9
0.56,Ideal,G,VVS1,62,56,2202,5.28,5.3,3.28
0.56,Good,E,SI2,63.5,57,1172,5.21,5.24,3.32
0.33,Ideal,D,VS2,62.1,56,1002,4.47,4.42,2.76
0.3,Ideal,I,VS1,62,57,457,4.26,4.29,2.65
0.37,Ideal,F,VS2,61.1,57,957,4.67,4.63,2.84
1.57,Ideal,G,VVS2,62.3,56,15144,7.48,7.41,4.64
0.37,Ideal,F,VS2,61.4,56,746,4.59,4.63,2.83
2.01,Good,D,SI2,59.9,65,16776,8.07,8,4.81
0.31,Ideal,D,SI2,62.1,57,462,4.32,4.34,2.69
1.2,Fair,I,I1,65.1,55,2376,6.65,6.59,4.31
0.33,Ideal,G,VS1,62.1,54,666,4.45,4.47,2.77
0.33,Ideal,G,IF,61,55,946,4.49,4.52,2.75
2.01,Ideal,H,SI2,61.9,57,14167,8.09,8.06,5
1,Very Good,D,VS2,62.6,56,6881,6.33,6.39,3.98
0.58,Ideal,F,VS1,62.2,55,1899,5.34,5.37,3.33
0.58,Very Good,I,VS2,61.7,54.1,1408,5.37,5.4,3.32
1.5,Good,G,SI2,64.3,57,8190,7.29,7.2,4.66
0.28,Very Good,E,VVS1,59.6,59,642,4.3,4.33,2.57
0.52,Very Good,G,VS2,60.2,56,1446,5.23,5.27,3.16
0.5,Ideal,D,VS1,61.6,57,1923,5.09,5.13,3.15
0.52,Very Good,H,VVS2,61.7,63,1605,5.26,5.16,3.22
0.3,Good,D,SI1,63.8,57,552,4.27,4.29,2.73
0.3,Very Good,G,VS2,63,56,526,4.27,4.3,2.7
0.74,Ideal,F,SI1,61.2,56,2889,5.83,5.87,3.58
0.72,Ideal,J,VVS1,62.5,56,2249,5.71,5.74,3.58
0.71,Ideal,E,VS1,62.2,57,3081,5.74,5.7,3.56
0.59,Very Good,E,SI2,63.8,57,1286,5.31,5.34,3.4
0.48,Good,G,VS1,58.6,62,1199,5.14,5.2,3.03
0.55,Premium,D,VS2,61.3,60,1928,5.28,5.29,3.24
0.56,Premium,G,VS2,62.5,57,1698,5.28,5.25,3.29
0.55,Ideal,F,VVS2,62.3,54,2558,5.27,5.29,3.29
0.3,Very Good,I,VS1,63.4,54,608,4.32,4.29,2.73
0.36,Ideal,E,VS2,61.8,56,949,4.57,4.59,2.83
0.8,Ideal,I,VS1,60.7,59,3010,5.98,6.02,3.64
0.4,Ideal,E,VVS1,61.7,57,1397,4.74,4.7,2.91
1.5,Very Good,H,SI1,63.5,58,7459,7.23,7.17,4.57
0.53,Very Good,G,VS1,62.3,55,1648,5.15,5.18,3.22
0.47,Premium,E,SI1,59.3,56,1087,5.07,5.05,3.02
0.7,Good,F,I1,63.9,60,1040,5.65,5.52,3.58
0.29,Very Good,G,VVS2,60.9,57,541,4.28,4.32,2.61
1.57,Premium,F,SI1,58.3,58,13288,7.72,7.68,4.49
0.31,Good,E,SI1,63.4,55,544,4.32,4.35,2.75
1.51,Premium,J,VVS2,62.9,58,8930,7.33,7.21,4.57
0.3,Ideal,F,VS2,60.9,56,776,4.35,4.32,2.64
1.01,Ideal,I,SI1,61.9,57,4509,6.4,6.5,3.98
1.04,Very Good,E,SI1,62.8,59,5689,6.46,6.41,4.04
0.91,Very Good,D,SI2,63.9,56,3837,6.06,6.09,3.88
1.13,Premium,G,IF,61.2,59,9698,6.78,6.71,4.13
0.35,Ideal,G,VS1,62.6,54,906,4.56,4.52,2.84
0.36,Ideal,E,VS1,61.8,54,835,4.56,4.6,2.83
0.4,Ideal,I,VVS2,62,56,1035,4.77,4.74,2.95
1.53,Very Good,D,SI1,59.2,57,11873,7.52,7.55,4.46
0.9,Good,F,SI2,64.2,62,3016,6,6.08,3.88
0.33,Ideal,F,VVS2,61.4,55,761,4.48,4.51,2.76
1.01,Very Good,F,SI1,60.7,58,5248,6.4,6.51,3.92
0.7,Very Good,F,VS1,62.8,56,3265,5.64,5.66,3.55
1.11,Ideal,E,SI1,62.5,54,6737,6.62,6.63,4.13
0.75,Very Good,F,VS1,57.9,62,3268,5.96,6,3.46
0.71,Ideal,H,VS1,61.6,57,2175,5.74,5.79,3.55
1.01,Ideal,G,VVS2,62.5,56,7941,6.38,6.41,4
1.2,Good,J,VS2,64.3,56,4637,6.65,6.57,4.25
1.21,Ideal,G,VS2,60.1,57,9873,6.94,6.98,4.18
0.9,Premium,I,VS2,63,59,3292,6.1,6.06,3.83
0.3,Very Good,F,VS2,62.9,57,605,4.29,4.33,2.71
1.01,Very Good,E,SI1,62.8,57,5499,6.37,6.41,4.01
0.76,Ideal,H,SI1,61.4,55,3050,5.82,5.9,3.6
0.73,Ideal,H,SI1,62.9,58,2377,5.72,5.75,3.61
0.33,Ideal,D,SI1,62.4,54,780,4.44,4.41,2.76
0.7,Premium,E,SI1,62,60,2444,5.72,5.67,3.53
0.39,Very Good,G,SI1,62.5,55,694,4.68,4.7,2.93
0.31,Ideal,G,VVS2,61.7,54,707,4.34,4.38,2.69
0.27,Ideal,H,VVS2,61.9,55,496,4.14,4.16,2.57
1.02,Very Good,E,SI1,63.2,60,5456,6.33,6.42,4.03
0.71,Ideal,H,IF,61.1,56,3290,5.74,5.78,3.52
0.61,Ideal,D,SI1,61.4,56,1904,5.46,5.48,3.36
0.7,Very Good,G,VVS2,62.9,59,2848,5.61,5.68,3.55
0.9,Good,I,VS2,62.4,65,3162,6.09,6.12,3.81
1.23,Premium,G,VS1,59.6,60,8293,6.99,6.94,4.15
1.09,Very Good,G,VVS2,59.8,61,7583,6.64,6.7,3.99
1,Very Good,F,SI2,61.6,61,4372,6.33,6.36,3.91
0.72,Ideal,E,SI1,60.5,55,3409,5.8,5.86,3.53
0.53,Ideal,E,VS2,60.7,57,1743,5.27,5.3,3.2
0.38,Premium,I,VS2,60.2,58,812,4.75,4.69,2.84
1.01,Good,H,SI1,63.4,59,4749,6.28,6.34,4
0.31,Ideal,I,VS2,62.3,53.8,447,4.32,4.36,2.7
1.01,Premium,D,SI1,61.6,58,5939,6.47,6.42,3.97
0.4,Very Good,G,VVS1,60.7,55,1066,4.81,4.84,2.93
0.72,Ideal,F,VS1,62.4,56,3084,5.76,5.72,3.58
1.19,Good,J,VS1,63.6,54,4931,6.78,6.74,4.3
1.51,Premium,G,VS1,60.1,58,14375,7.45,7.48,4.49
0.89,Ideal,F,VS2,61.5,55,4854,6.18,6.21,3.81
1.15,Ideal,G,VVS1,62.7,56,10644,6.69,6.67,4.19
0.37,Premium,E,VVS2,60.9,59,844,4.61,4.65,2.82
1.54,Premium,I,SI1,60.9,59,8258,7.42,7.46,4.53
0.43,Ideal,G,VS1,61.6,55.1,1005,4.85,4.89,3
0.3,Fair,D,VVS2,65.2,59,772,4.2,4.18,2.73
0.35,Ideal,E,VS1,61.3,55,945,4.58,4.55,2.8
0.41,Ideal,F,VVS1,61.8,55,1295,4.76,4.78,2.95
0.51,Ideal,G,VVS2,61.3,56,1902,5.16,5.19,3.17
1.08,Ideal,G,SI2,61.9,58,4675,6.55,6.57,4.06
1,Premium,F,SI1,61.4,62,4939,6.36,6.32,3.89
0.31,Premium,F,VS2,61.4,58,802,4.4,4.36,2.69
2.01,Very Good,I,VS1,63,59,18500,7.87,7.94,4.98
0.71,Good,F,VVS2,58.9,61,2960,5.8,5.9,3.44
0.5,Premium,F,VS2,61.9,56,1654,5.13,5.08,3.16
0.55,Very Good,G,VVS2,57.1,63,1879,5.39,5.47,3.1
0.71,Premium,I,VVS2,61.9,60,2428,5.69,5.75,3.54
0.34,Ideal,F,VS2,60.7,56,938,4.56,4.53,2.76
0.3,Ideal,F,IF,62.2,56,886,4.31,4.34,2.69
0.72,Ideal,G,SI1,62,56,2318,5.75,5.71,3.55
0.34,Very Good,H,VS1,61.3,56,596,4.48,4.53,2.76
1.5,Premium,I,VS1,62.7,59,9900,7.25,7.3,4.56
0.92,Fair,E,SI1,66.8,55,4482,6.04,5.99,4.02
0.61,Ideal,D,VVS1,62.3,54,3625,5.4,5.45,3.38
1.51,Good,G,VS2,64.2,54,11746,7.27,7.18,4.64
0.33,Ideal,I,VVS2,61,56,722,4.48,4.51,2.74
0.23,Very Good,F,VS2,61,59,402,3.95,3.99,2.42
1.26,Ideal,H,SI1,61.9,57,8110,6.88,6.93,4.27
0.29,Ideal,G,VS2,60.7,55,525,4.31,4.35,2.63
0.91,Very Good,J,VS2,62.6,55,3299,6.17,6.19,3.87
0.7,Premium,F,VS2,61.8,60,2818,5.69,5.64,3.5
0.31,Ideal,D,VS1,60.6,57,713,4.36,4.39,2.65
1.31,Ideal,G,VVS1,61.1,57,11146,7.01,7.06,4.3
1,Premium,F,SI1,61.9,60,5544,6.34,6.39,3.94
0.7,Very Good,F,SI1,59.8,59,2401,5.74,5.8,3.45
0.8,Very Good,E,VS2,61.6,57,4263,5.95,5.97,3.67
1,Good,E,VVS2,64.1,57,7692,6.32,6.29,4.04
2.1,Premium,H,SI2,60.4,59,16629,8.33,8.28,5.02
0.34,Ideal,E,SI1,61,57,596,4.48,4.51,2.74
1.18,Premium,J,SI2,61.3,60,4197,6.78,6.83,4.17
0.56,Very Good,D,IF,60.7,56,4440,5.34,5.36,3.25
1.69,Premium,F,SI2,62.4,58,9275,7.65,7.57,4.75
0.72,Ideal,E,VS2,60.8,57,3091,5.79,5.82,3.53
1.01,Very Good,J,SI2,63.5,59,3462,6.3,6.36,4.02
0.75,Fair,J,SI1,55,66,1827,6.2,6.04,3.37
1.5,Very Good,H,VVS1,63.8,57,11654,7.17,7.21,4.59
1.03,Very Good,D,SI2,63.3,58,4963,6.38,6.42,4.05
2.01,Ideal,G,SI1,59.2,57,17492,8.23,8.19,4.86
1.01,Ideal,G,SI1,63.1,53,5430,6.36,6.42,4.03
1.53,Premium,J,VVS1,61.6,58,9155,7.37,7.4,4.55
0.9,Good,D,SI1,58.5,63,4469,6.21,6.3,3.66
1.7,Good,H,VVS2,63.1,57,14146,7.52,7.61,4.77
0.31,Good,H,VS2,63.1,58,489,4.31,4.34,2.73
1.02,Good,H,SI1,63.5,58,4604,6.36,6.39,4.05
0.31,Ideal,G,SI1,61.2,56,493,4.37,4.39,2.68
0.51,Very Good,G,VS1,61.1,56,1668,5.17,5.2,3.17
1.06,Ideal,I,SI1,61.2,56,4630,6.64,6.6,4.05
0.52,Premium,F,I1,63,56,870,5.18,5.11,3.24
0.3,Ideal,D,VVS1,62.1,56,853,4.31,4.32,2.68
0.62,Very Good,I,VS1,61.8,55,1818,5.5,5.53,3.41
0.54,Premium,D,VS2,60.9,58,1993,5.31,5.27,3.22
1.5,Good,F,SI2,62.6,64,8820,7.25,7.19,4.52
0.5,Good,D,VS2,63.4,56,1635,5.05,5.1,3.22
0.78,Premium,H,SI1,60,60,2489,5.93,5.92,3.62
0.31,Premium,G,VVS1,61.2,59,816,4.32,4.34,2.65
0.64,Premium,E,VS2,61.6,62,1926,5.48,5.46,3.37
1.02,Ideal,H,SI2,62.5,53,4918,6.43,6.47,4.03
0.32,Premium,F,VS2,60.7,58,828,4.45,4.41,2.69
0.35,Very Good,D,VS1,63.9,55,792,4.49,4.53,2.88
0.5,Ideal,G,VVS2,62.8,57,1935,5.04,4.99,3.15
1.02,Good,G,VS2,63.6,57,5816,6.38,6.41,4.07
1.12,Ideal,G,VS1,61.5,55,7970,6.67,6.69,4.11
0.7,Good,E,VS1,61,61,2952,5.69,5.72,3.48
1.23,Very Good,E,VVS1,61.2,59,15878,6.9,6.98,4.25
1.07,Ideal,G,VS1,62,56,7198,6.58,6.52,4.06
